% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 65.75    0.005161          16       317           futex
 10.56    0.000829          10        78           mmap
  4.45    0.000349          11        31        11 openat
  3.80    0.000298           9        30           read
  2.79    0.000219           7        29        11 newfstatat
  4.13    0.000324          12        27           mprotect
  2.34    0.000184           9        20           close
  0.99    0.000078           6        12           rt_sigaction
  1.01    0.000079          11         7           brk
  0.79    0.000062          10         6           write
  0.42    0.000033           8         4           unknown
  0.32    0.000025           6         4           pread64
  0.24    0.000019           6         3           rt_sigprocmask
  0.24    0.000019           6         3           sigaltstack
  0.84    0.000066          22         3           munmap
  0.19    0.000015           7         2           getrandom
  0.24    0.000019           9         2         1 arch_prctl
  0.10    0.000008           8         1           statx
  0.08    0.000006           6         1           set_tid_address
  0.10    0.000008           8         1           poll
  0.36    0.000028          28         1           clone3
  0.08    0.000006           6         1           set_robust_list
  0.19    0.000015          15         1         1 access
------ ----------- ----------- --------- --------- ----------------
100.00    0.007850          13       584        24 total
