% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 62.84    0.005131          16       317           futex
 10.26    0.000838          10        78           mmap
  4.43    0.000362          11        31        11 openat
  5.81    0.000474          15        30           read
  2.78    0.000227           7        29        11 newfstatat
  4.21    0.000344          12        27           mprotect
  2.17    0.000177           8        20           close
  1.14    0.000093           7        12           rt_sigaction
  0.91    0.000074          10         7           brk
  0.81    0.000066          11         6           write
  0.48    0.000039           9         4           unknown
  0.31    0.000025           6         4           pread64
  0.26    0.000021           7         3           sigaltstack
  0.26    0.000021           7         3           rt_sigprocmask
  1.13    0.000092          30         3           munmap
  0.18    0.000015           7         2           getrandom
  0.23    0.000019           9         2         1 arch_prctl
  0.07    0.000006           6         1           set_robust_list
  0.07    0.000006           6         1           set_tid_address
  0.11    0.000009           9         1           statx
  0.18    0.000015          15         1         1 access
  0.40    0.000033          33         1           clone3
  0.96    0.000078          78         1           poll
------ ----------- ----------- --------- --------- ----------------
100.00    0.008165          13       584        24 total
